CardNumber,Date,Description,MCC_Cd,Amount,Type,Status,Transaction_ID,Carbon_Calc_f
5722-8688-5154-2618,2022-04-16,Women's Ready-to-Wear Stores,5621,3138,Debit,Cleared,4a367653-6be2-48b1-8d9c-e57923f92700,N
8673-2441-5605-2407,2022-03-19,Women's Accessory and Specialty Stores,5631,2943,Debit,Cleared,8cb99b81-2c02-4193-954a-65bbce0a4ebe,N
0150-6226-3665-1580,2022-02-17,Children's and Infants' Wear Stores,5641,3048,Debit,Cleared,b5633359-17fa-4976-89c2-46bbc8f315ed,N
1283-5710-1470-8321,2022-04-02,Family Clothing Stores,5651,415,Debit,Cleared,b9db7cf9-69fb-4092-85a0-d64e707f61a3,N
5533-3112-6666-5865,2022-02-25,Sports and Riding Apparel Stores,5655,59,Debit,Cleared,ad5c8186-9a2b-468e-99f4-fcab8a95d1d7,N
0363-6237-2162-3151,2022-03-21,Shoe Stores,5661,1225,Debit,Cleared,948a7dac-6172-44ee-a0fc-2efb5977374e,N
5150-6376-4178-0685,2022-03-31,Furriers & Fur Shops,5681,3468,Debit,Cleared,392a506b-ec8b-4325-be96-6bee1aba0741,N
1411-3241-8383-5603,2022-04-12,Men's and Women's Clothing Stores,5691,409,Debit,Cleared,02ef96cb-c7d7-409c-80f6-b0ce53e2285f,N
4038-7060-5125-8207,2022-04-18,"Tailors, Seamstresses, Mending, Alterations ",5697,3968,Debit,Cleared,41f7cee6-4a05-4629-9c53-10fccfc6aed9,N
8030-1321-5778-0363,2022-04-01,Wig & Toupee Shops,5698,628,Debit,Cleared,7e95075b-4089-474c-9624-9d8fda89730a,N
8212-3112-7560-1582,2022-04-26,Miscellaneous Apparel and Accessory Stores,5699,1324,Debit,Cleared,56a99e57-60e8-4ba6-8793-d332b4ee3b8a,N
0412-4446-5072-7874,2022-04-19,"Furniture, Home Furnishings, and Equipment Stores, except Appliances",5712,190,Debit,Cleared,d40862e3-7e6a-4679-85c1-a79c6d5f3866,N
2728-7313-5247-8151,2022-05-15,"Floor coverings, Rugs",5713,3378,Debit,Processing,e03802b1-e486-40e0-b797-2ff86d581775,N
1177-4547-0278-4503,2022-05-18,"Drapery, Window Covering, and Upholstery Stores",5714,400,Debit,Cleared,a12deea4-7aca-4f2d-bfd6-b7ee46e5db3e,N
1532-0037-7363-6872,2022-05-19,"Fireplaces, Fireplace Screens and Accessories Stores ",5718,545,Debit,Cleared,dc636f52-9044-4152-bbb1-850961ae374c,N
2187-5166-8816-7885,2022-03-13,Miscellaneous Home Furnishing Specialty Stores,5719,1418,Debit,Cleared,9880e401-fe86-4d6f-b52c-ecd597b66351,N
4475-8677-4266-3710,2022-05-01,Household Appliance Stores,5722,1758,Debit,Cleared,99770cca-7fb3-4303-ac1e-2f013f04bf4c,N
5533-3112-6666-5865,2022-03-23,Electronics Stores,5732,3195,Debit,Cleared,b210c362-0702-4459-ab6b-931d7fbfbbc6,N
6888-6464-5850-1282,2022-03-13,"Music Stores-Musical Instruments, Pianos, and Sheet Music",5733,1086,Debit,Cleared,6d5f5b14-efb0-4a00-8627-95620a4cdfed,N
7584-8057-3330-8243,2022-04-03,Computer Software Stores,5734,1061,Debit,Cleared,5381caf5-3d3d-4808-a94a-0d1dd2453cd9,N
7571-7324-7876-6810,2022-04-25,Record Stores,5735,1386,Debit,Cleared,842dbcd4-73d4-4ef4-9962-eed6910fa1f3,N
1822-3823-4557-5623,2022-02-15,Caterers - Prepare & Delivery,5811,2021,Debit,Cleared,2211338e-0ce9-4035-bea0-fd161681e260,N
8336-7723-5010-8258,2022-03-03,Eating Places and Restaurants,5812,3965,Debit,Cleared,b9bf53f1-8036-4ede-9a56-47fc8a479570,N
4202-2185-3016-1605,2022-04-07,"Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques",5813,3469,Debit,Processing,82ae0763-898e-4fd2-bcc8-6ffcf0056f94,N
0237-1003-1471-2015,2022-05-09,Quick Payment Service-Fast Food Restaurants,5814,2930,Debit,Processing,8a8f9287-67d0-45aa-8f95-e32d79b32f4f,N
6687-3637-6826-1683,2022-04-15,"Digital Goods – Media, Books, Movies, Music  ",5815,811,Debit,Cleared,28fec756-06ef-45ce-ae50-63854f6bf6f9,N
7140-5836-4713-2233,2022-03-10,Digital Goods – Games  ,5816,3106,Debit,Cleared,e24804f9-823f-42f8-b4b3-955a2fc59073,N
4475-8677-4266-3710,2022-04-28,Digital Goods – Applications (Excludes Games)  ,5817,2330,Debit,Cleared,d0884216-25b0-4ed2-89be-084ef918f3ff,N
2207-4401-2664-3036,2022-02-21,Large Digital Goods Merchant  ,5818,3623,Debit,Cleared,53ff1800-7c14-499a-b138-fe8d004689b0,N
2728-7313-5247-8151,2022-04-11,Drug Stores and Pharmacies,5912,763,Debit,Cleared,a6f56d96-f0e3-4341-aae4-122de2720ad0,N
6103-0803-7667-1634,2022-03-29,"Package Stores--Beer, Wine, and Liquor",5921,262,Debit,Cleared,1f434090-2ede-409f-b606-2e358f6a8695,N
1162-2327-0452-3547,2022-04-12,Used Merchandise and Secondhand Stores,5931,594,Debit,Processing,50be4e14-f1c6-4fb4-984d-1fae140d5270,N
0754-3261-0745-8353,2022-04-07,Antique Shop,5932,1886,Debit,Cleared,f4a80f00-45bb-4d18-b3f4-4dd2fbb41ae6,N
3873-1011-7884-4651,2022-03-10,Pawn Shop,5933,2171,Debit,Cleared,08bcd8a4-c9f5-4eea-bdd0-95b2048574a8,N
7773-4107-2232-5535,2022-04-17,Wrecking and Salvage Yards,5935,3162,Debit,Cleared,a80e3488-9422-4823-81f3-877485f55447,N
1708-2261-7773-7658,2022-04-23,Antique Reproduction Stores,5937,472,Debit,Cleared,3f637cca-c9cd-4ad0-8ed3-87d7a5bb0cf4,N
7571-7324-7876-6810,2022-02-24,Bicycle Shop-Sales and Services,5940,1966,Debit,Cleared,c6975640-4374-4468-b1d4-2b6f32e14028,N
2513-7800-0438-1508,2022-02-28,Sporting Goods Stores,5941,2108,Debit,Cleared,b81258a0-b86d-4acb-9fed-c7043d9655db,N
7427-4263-8377-2751,2022-04-19,Book Stores,5942,3726,Debit,Cleared,ccd30b0f-eedf-4638-976c-44ecacbf2417,N
8212-3112-7560-1582,2022-04-27,"Stationery, Office and School Supply Stores",5943,1608,Debit,Cleared,385c51e3-1f9e-474b-a7d9-d823f487a7bd,N
5156-3222-5835-4034,2022-03-28,"Jewelry, Watch, Clock, and Silverware Stores",5944,203,Debit,Cleared,c47c2ac5-25e6-4a86-bd7f-0dc7d0e186b4,N
1627-6537-8884-3428,2022-03-20,"Hobby, Toy and Game Stores",5945,1859,Debit,Cleared,c4ef2f9d-9695-4a25-903f-8cd125d12eee,N
4202-2185-3016-1605,2022-05-06,Camera and Photographic Supply Stores,5946,452,Debit,Cleared,7f58de65-94fa-4fc1-a0cd-69444a2f0836,N
5261-2371-4307-3162,2022-02-15,"Gift, Card, Novelty, and Souvenir Stores",5947,1359,Debit,Cleared,3c841f85-8cf2-453d-b1e1-84b0a6e70dc5,N
1634-5504-8266-4571,2022-02-27,Luggage and Leather Goods Stores,5948,497,Debit,Cleared,a332a70c-fce3-46f3-8d0e-645f3261f811,N
6057-5114-2211-7264,2022-04-13,"Sewing, Needlework, Fabric, and Piece Good Stores ",5949,378,Debit,Cleared,7a258ed6-ddea-4f7c-92f8-4a1cb7f2f090,N
6687-3637-6826-1683,2022-02-19,Glassware and Crystal Stores,5950,2589,Debit,Cleared,d56c9ec6-3edd-4dd9-9d1a-4c3878fc3d1b,N
2627-5561-2003-6528,2022-03-21,Direct Marketing Insurance Services,5960,353,Debit,Cleared,3a98e22c-fdf8-4172-b7ea-386009227523,N
2187-5166-8816-7885,2022-03-16,Mail Order,5961,1439,Debit,Cleared,20422750-cd6c-4a61-b4b2-e32a6a05d380,N
1532-0037-7363-6872,2022-02-26,Direct Marketing -- Travel Related Arrangement Services,5962,183,Debit,Cleared,13b18d02-8ae2-4dd8-aaac-d2268fb830b8,N
1162-2327-0452-3547,2022-03-05,Direct Selling Establishments/Door to Door Sales ,5963,995,Debit,Cleared,2fe7db7a-7291-4bd7-95ec-9602538345d2,N
3128-4025-2617-0310,2022-02-24,Catalog Merchant,5964,1890,Debit,Cleared,7e8c9bd4-3615-4d5f-ac4d-da3df8ef9571,N
5150-6376-4178-0685,2022-05-12,Combined Catalog and Retail Merchant,5965,913,Debit,Cleared,56e99476-5edf-4a25-af73-e42eaa2b582d,N
8048-2513-1414-5108,2022-04-06,Outbound Telemarketing Merchant,5966,591,Debit,Cleared,f5d5efba-546e-43da-88b6-f6cc817d64dd,N
7050-8348-2865-2376,2022-02-23,Direct Marketing -- Inbound Telemarketing Merchants,5967,3187,Debit,Cleared,172c5c99-890b-4f31-860c-591322a86e36,N
4056-8121-6765-2045,2022-05-08,Continuity/Subscription Merchants,5968,3787,Debit,Cleared,e3933264-1bdf-4314-b0e5-d146470cc511,N
2207-4401-2664-3036,2022-04-18,Direct Marketing/Direct Marketers--Not Elsewhere Classified,5969,3367,Debit,Cleared,41d33626-4d52-4234-9a3a-7e50464a79c1,N
2632-3710-8458-8750,2022-04-06,Artist Supply and Craft Stores,5970,3755,Debit,Cleared,a8100088-c9da-4eba-85a1-41a87d01869f,N
1177-4547-0278-4503,2022-04-29,Art Dealers and Galleries,5971,2990,Debit,Cleared,1a7be14c-4146-4531-a196-a511d4f85f52,N
6057-5114-2211-7264,2022-02-26,Stamp and Coin Stores,5972,943,Debit,Cleared,c2681e96-218f-4d1e-8db1-8244c006e1c4,N
6520-4224-1523-4421,2022-03-04,Religious Goods Stores,5973,2933,Debit,Cleared,fc211730-812c-4855-a705-6884a003056a,N
5150-6376-4178-0685,2022-02-16,"Hearing Aids--Sales, Service, and Supplies",5975,1383,Debit,Cleared,23f2b4f6-eae2-43fa-8b67-0d635ea7aec4,N
6057-5114-2211-7264,2022-02-16,Orthopedic Goods and Prosthetic Devices,5976,1268,Debit,Cleared,5b98b800-d78b-4a72-80d0-b4f02734a88e,N
6573-1753-6586-3283,2022-02-26,Cosmetic Stores,5977,480,Debit,Cleared,9442b963-d4a1-4e52-a4e4-df93934c1682,N
8030-1321-5778-0363,2022-05-08,"Typewriter Stores--Sales, Service, and Rentals",5978,2076,Debit,Cleared,6a00908a-a267-42ff-8a9b-570543947782,N
5150-6376-4178-0685,2022-05-09,"Fuel Dealers--Fuel Oil, Wood, Coal, and Liquefied Petroleum",5983,1676,Debit,Cleared,c963d909-e1dc-4382-bb46-8389b2278dff,N
7614-2737-1372-6813,2022-04-25,Florists,5992,1103,Debit,Cleared,e7ec946c-eb86-4099-b409-74423015e4b0,N
5156-3222-5835-4034,2022-04-07,Cigar Stores & Stands,5993,864,Debit,Cleared,9095a1ac-f828-4708-ba36-a9aa167829ad,N
7742-5634-4653-4660,2022-05-17,News Dealers & Newsstands,5994,1306,Debit,Cleared,90a7c446-c869-46af-a45e-ea43455cba77,N
4265-4481-6624-5584,2022-03-05,"Pet Shops, Pet Food, and Supplies",5995,2980,Debit,Cleared,2d756830-b9c4-4e7f-b385-a03d0bbbc34f,N
5022-8318-8036-5438,2022-02-19,"Swimming Pools--Sales, Supplies, and Services",5996,3509,Debit,Cleared,56ba49d9-59d8-4d54-a586-cc6f800be674,N
8673-2441-5605-2407,2022-02-26,Electric Razor Stores Sales & Services,5997,986,Debit,Cleared,ec65d62a-55a6-4667-b182-e60d2c6c74f0,N
2513-7800-0438-1508,2022-03-31,Tent and Awning Stores,5998,3740,Debit,Cleared,7965b23f-90fe-40a6-87fa-7123681000ac,N
5562-6138-2263-2583,2022-03-21,Miscellaneous & Specialty Retail Stores,5999,3204,Debit,Cleared,fa36f82c-f39c-42b5-a65a-f8db9b7e78d0,N
8548-3137-1813-1338,2022-02-18,Financial Institutions--Manual Cash Disbursements ,6010,3487,Debit,Cleared,efc35814-aa11-4772-9bb6-27ab69398231,N
3857-1447-6225-5173,2022-04-24,Financial Institutions--Automated Cash Disbursements ,6011,2412,Debit,Cleared,01fd3123-ffc4-4620-b871-be24c5d9d560,N
7773-4107-2232-5535,2022-04-16,Quasi Cash - Financial Institution - Merchandise and Services,6012,1129,Debit,Cleared,04e496b6-8377-46a0-861e-adaa75971026,N
1007-1847-0342-1858,2022-04-21,Quasi Cash - Member Financial Institution,6050,907,Debit,Cleared,79a1717c-7b9c-4521-bb9f-a8cc9b3dee80,N
1114-1286-2836-3057,2022-04-07,MasterCard - Quasi Cash-Merchant,6051,2680,Debit,Cleared,4643f313-6886-43a0-b42d-08853a220412,N
6422-6200-5583-3432,2022-03-11,Securities - Brokers and Dealers,6211,2908,Debit,Cleared,d04d6595-b4cd-4b66-8721-4890e9b23a57,N
8333-3307-1872-8720,2022-05-17,Insurance Sales and Underwriting,6300,3235,Debit,Cleared,92f7f4ec-b41a-4a30-a469-d92422d2eb88,N
8333-3307-1872-8720,2022-03-31,Insurance - Premiums,6381,2553,Debit,Cleared,2c5b15a1-6b69-4094-a1ee-52f5f48464b9,N
5324-5333-3713-1745,2022-04-12,Insurance - Not Elsewhere Classified,6399,2172,Debit,Cleared,86731732-d152-4f3a-8c81-b2277d22086a,N
5324-5333-3713-1745,2022-04-20,Real Estate Agents and Managers - Rentals; Property Management,6513,1792,Debit,Cleared,df208400-afa9-4f4b-afb5-ad8979265309,N
3446-0204-0520-0856,2022-04-13,Remote Stored Value Load - Member Financial Institution,6529,365,Debit,Cleared,2d072750-f008-42e1-9593-3965758170ef,N
1710-0781-4286-7831,2022-03-10,Remote Stored Value Load - Merchant,6530,2644,Debit,Cleared,e0b9c43e-6777-43c9-a50d-346778f2d3b2,N
3446-0204-0520-0856,2022-04-11,Payment Service Provider,6531,2343,Debit,Cleared,df14d412-8144-4853-9e02-4f8f516c66df,N
0143-3057-0734-0500,2022-04-26,Payment Transaction - Member,6532,3049,Debit,Cleared,e041e7b0-7869-4c0b-a9e1-ad87386d7460,N
1114-1286-2836-3057,2022-03-09,Payment Transaction - Merchant,6533,1225,Debit,Processing,ecaa6857-cdc2-42ec-85b8-ce81f45479c9,N
6573-1753-6586-3283,2022-03-05,Money Transfer - Member Financial Institution,6534,610,Debit,Cleared,7d7c260c-1f37-4212-8722-48d3da96c721,N
7614-2737-1372-6813,2022-02-21,Value Purchase - Member Financial Institution,6535,1631,Debit,Cleared,4f227df2-7f22-4a1e-945d-be06fce7ec9d,N
1162-2327-0452-3547,2022-05-18,"Lodging - Hotels, Motels, and Resorts",7011,3972,Debit,Cleared,8426dd2f-d3a3-4885-b3cd-ce402b60c401,N
0187-0710-0358-5866,2022-03-01,Timeshares,7012,1866,Debit,Cleared,df2f9f9e-ea67-440c-880a-553bd05bb310,N
2632-3710-8458-8750,2022-03-10,Sporting and Recreational Camps ,7032,904,Debit,Cleared,5e299145-2a4b-4070-8df2-48d084df0778,N
0363-6237-2162-3151,2022-04-11,Trailer Parks and Campgrounds,7033,3266,Debit,Cleared,8b3961ae-b744-4cde-b68e-b993544325e2,N
8673-2441-5605-2407,2022-04-22,"Laundry, Cleaning, and Garment Services",7210,375,Debit,Cleared,111615a9-c07b-45ea-afb6-fb6353fa7045,N
1127-7723-5843-6440,2022-05-02,Laundry Services - Family and Commercial,7211,3008,Debit,Cleared,01225e93-75d8-44f2-bfd9-e79effb3fded,N
2301-4826-6816-0315,2022-04-09,Dry Cleaners,7216,3119,Debit,Cleared,cce743dc-dbbd-45fa-8fc8-c9a4024074a3,N
3446-0204-0520-0856,2022-02-24,Carpet and Upholstery Cleaning,7217,2575,Debit,Cleared,0a7ba37b-e71f-4364-9d61-ca5483325b03,N
2032-7430-2122-1158,2022-02-24,Photographic Studios,7221,71,Debit,Cleared,32a5d4fc-5e69-4e7c-b707-39ecd5a30f5f,N
5546-5631-0824-4631,2022-05-15,Beauty and Barber Shops,7230,3693,Debit,Cleared,5b853c84-f2a6-42ac-b83f-c37bde3fca86,N
6575-4613-6817-7234,2022-03-31,"Shoe Repair Shops, Shoe Shine Parlors, and Hat Cleaning Shops",7251,461,Debit,Cleared,878997dd-f598-495b-8044-e117ad45b4ea,N
3768-5806-1760-2402,2022-05-19,Funeral Services and Crematories,7261,2786,Debit,Cleared,58872214-41c4-4679-9cea-3968f2d414c5,N
2230-3314-3361-3488,2022-03-01,Dating Services,7273,1765,Debit,Cleared,b01befee-8abc-48e4-96f5-131a6993b788,N
4475-8677-4266-3710,2022-05-19,Tax Preparation Services,7276,2101,Debit,Cleared,7376bd04-70f6-4ec5-b6e6-10d9013f0286,N
3873-1011-7884-4651,2022-02-22,"Counseling Services - Debt, Marriage, and Personal",7277,1653,Debit,Cleared,b6d47c9f-6126-4115-b1f3-1d90eceb317d,N
6475-8717-0285-1214,2022-03-03,Buying and Shopping Services and Clubs,7278,2411,Debit,Cleared,3cab9572-6a85-4402-b625-8e56ee2f59b5,N
8331-7455-0118-7251,2022-04-08,"Clothing Rental - Costumes, Uniforms and Formal Wear ",7296,2779,Debit,Cleared,3f59e4ee-1e95-4bc0-97fa-6a2791861e77,N
2032-7430-2122-1158,2022-04-23,Massage Parlors,7297,2358,Debit,Cleared,d30f7954-7d6e-4004-bc0b-c2a8f18afa44,N
5856-0057-8822-0177,2022-03-21,Health and Beauty Spas,7298,3236,Debit,Cleared,97440649-30fc-414a-90f6-b510140d14f7,N
2230-3314-3361-3488,2022-04-25,Miscellaneous Personal Services - Not Elsewhere Classified,7299,658,Debit,Cleared,69f35a4c-be66-48fc-99b6-794302ce7db9,N
2513-7800-0438-1508,2022-05-10,Advertising Services,7311,1456,Debit,Cleared,1ddd2023-da53-43e6-a21d-13481f11f2b6,N
2728-7313-5247-8151,2022-04-27,Consumer Credit Reporting Agencies,7321,1560,Debit,Cleared,c0c99381-e1d7-4ea9-a2e0-f9cdb58fca04,N
6525-6177-1224-4636,2022-05-19,Blueprinting and Photocopying Services,7332,3665,Debit,Cleared,ceae6410-74e0-430c-b910-c2ea902e14a9,N
0022-1236-4331-4884,2022-05-07,"Commercial Photography, Art, and Graphics",7333,2568,Debit,Cleared,2f274b55-f8e8-4905-ba4c-4f1aecb46180,N
8048-2513-1414-5108,2022-04-25,"Quick Copy, Reproduction Service",7338,1299,Debit,Cleared,f695e6bc-21d2-4afd-951a-780c43329d06,N
1127-7723-5843-6440,2022-04-01,Stenographic Service,7339,3328,Debit,Cleared,2bfa3a2d-e954-4c68-b8cd-4c294535b513,N
8282-4771-5114-6578,2022-04-27,Exterminating and Disinfecting Services,7342,3384,Debit,Cleared,5914d3bd-8754-42ec-aef9-d68b394d00e5,N
1708-2261-7773-7658,2022-03-03,"Cleaning, Maintenance & Janitorial Services",7349,1033,Debit,Processing,2dd069d9-9334-4bf6-8313-4333b73d6fc8,N
1822-3823-4557-5623,2022-02-23,Employment Agencies and Temporary Help Services,7361,2713,Debit,Cleared,719e2050-e2b1-4f07-a79d-9220a6191f7f,N
3234-0650-4404-1172,2022-05-05,"Computer Programming, Data Processing, and Integrated Systems Design Services",7372,1147,Debit,Cleared,1e2d0906-8052-4633-a482-4f671bb53ab9,N
5546-5631-0824-4631,2022-03-13,Information Retrieval Services (Business to Business MCC) ,7375,88,Debit,Cleared,91c43211-73ed-4ad4-962f-79360189d85e,N
8282-4771-5114-6578,2022-04-09,"Computer Maintenance, Repair and Services (Business to Business MCC)",7379,1573,Debit,Cleared,617f685f-1955-4dc9-8b37-ac15dd8f315a,N
8336-7723-5010-8258,2022-02-18,"Management, Consulting, and Public Relations Services",7392,1457,Debit,Cleared,9b86274e-8b59-4b05-83e4-bab79f0e9493,N
4056-8121-6765-2045,2022-03-24,"Detective Agencies, Protective Agencies, and Security Services, including Armored Cars and Guard Dogs",7393,560,Debit,Cleared,cdfa874d-e079-46f6-9c28-467f4b2caf57,N
2032-7430-2122-1158,2022-04-17,"Equipment, Tool, Furniture, and Appliance Rental and Leasing ",7394,3142,Debit,Cleared,4e314060-b498-4476-acda-a6447de5e249,N
7050-8348-2865-2376,2022-04-29,Photofinishing Laboratories and Photo Developing,7395,1939,Debit,Cleared,5d971522-ba5a-493a-9ac8-1a717fdb63a6,N
7742-5634-4653-4660,2022-02-28,Business Services,7399,226,Debit,Cleared,53f3abe5-6bb0-49f2-bc13-bc63d7cdc642,N
3873-1011-7884-4651,2022-04-10,Truck Stops,7511,1496,Debit,Cleared,27b8ad91-a295-48b9-9516-fbbed10f0834,N
0237-1003-1471-2015,2022-03-14,Automobile Rental Agency,7512,1349,Debit,Cleared,d21f9fda-8300-4b12-9049-6d5229f6c202,N
3446-0204-0520-0856,2022-03-30,Truck and Utility Trailer Rentals,7513,2561,Debit,Cleared,959f3176-978e-403f-a225-b7f4da02f237,N
8030-1321-5778-0363,2022-04-10,Motor Home and Recreational Vehicle Rentals,7519,1317,Debit,Cleared,47e4fa5c-49c7-4fab-b714-38215ee64555,N
0150-6226-3665-1580,2022-02-15,Parking Lots and Garages,7523,2951,Debit,Cleared,636151d5-c914-4090-a7f9-bb605750a520,N
4837-7356-8265-4327,2022-02-21,Express Payment Service Mechants - Parking Lots and Garages,7524,1855,Debit,Cleared,39d5784f-729e-4ecd-a4ac-64bb7fa68616,N
1411-3241-8383-5603,2022-03-18,Automotive Top & Body Shops,7531,789,Debit,Cleared,8052b1ad-d71c-46bc-9715-78b0bdd594c4,N
8331-7455-0118-7251,2022-05-16,Tire Retreading & Repair,7534,983,Debit,Cleared,325ab0f6-11ee-4eb1-bd16-4ab95f732717,N
1162-2327-0452-3547,2022-04-08,Automotive Paint Shops,7535,605,Debit,Cleared,438b58ee-dc73-4931-bbcb-d992d27688fc,N
0143-3057-0734-0500,2022-03-29,Automotive Service Shops (Non-Dealer),7538,1487,Debit,Processing,53f5e87d-06ca-48c8-a2b6-5e748d526040,N
6520-4224-1523-4421,2022-05-17,Car Washes,7542,1757,Debit,Cleared,6918e7a4-1ced-454c-8c09-2c34d614d7c4,N
8282-4771-5114-6578,2022-04-19,Towing Services,7549,1238,Debit,Cleared,09b2ac27-e1c1-4c29-a613-e397965a74cd,N
8548-3137-1813-1338,2022-03-21,Electronic Repair Shops,7622,3910,Debit,Cleared,afcf36a9-5ffd-4a04-b6a6-069749997755,N
0373-1428-2370-0035,2022-05-18,Air Conditioning and Refrigeration Repair Shops ,7623,3682,Debit,Cleared,001c4e15-3cc6-427e-810b-bc75128ad57d,N
1162-2327-0452-3547,2022-05-15,Electrical and Small Appliance Repair Shops ,7629,837,Debit,Cleared,5c9d2bf6-c902-4e62-9606-01c5ad80c610,N
1708-2261-7773-7658,2022-04-22,"Watch, Clock, and Jewelry Repair Shops",7631,663,Debit,Cleared,828bc825-561d-44e3-a842-897fed4d9208,N
6023-5271-2723-4718,2022-04-14,"Furniture - Reupholster, Repair, and Refinishing",7641,3262,Debit,Cleared,6e8a29ee-3637-4423-87dc-7e13398b84ee,N
5014-8505-5363-2260,2022-02-25,Welding Services,7692,2950,Debit,Cleared,12351e39-1a8c-40bf-ba53-7052fef3108d,N
3873-1011-7884-4651,2022-03-15,Miscellaneous Repair Shops and Related Services,7699,2522,Debit,Processing,02adceef-66f8-4e59-8aab-bd1d5b46b4f4,N
8548-3137-1813-1338,2022-03-02,Citishare Cash Advance,7778,357,Debit,Cleared,3439b2c6-3d77-4d43-b485-faac1e62b87f,N
7427-4263-8377-2751,2022-04-07,Government-Owned Lotteries  ,7800,1932,Debit,Cleared,13cae0f0-03f2-4dd6-81d8-e1ee35f8b14c,N
2187-5166-8816-7885,2022-05-12,Government-Licensed Casinos (Online Gambling)  ,7801,3231,Debit,Cleared,22e1e541-385b-4331-8b9a-7788f62194a7,N
3768-5806-1760-2402,2022-03-09,Government-Licensed Horse/Dog Racing  ,7802,3696,Debit,Cleared,1f980f89-f3b3-49a1-96c7-cd0282ef9cd7,N
7584-8057-3330-8243,2022-04-26,Motion Picture & Video Tape Production and Distribution (Business to Business MCC),7829,3005,Debit,Cleared,eda5edf7-3be8-4eeb-b2a4-ebb66e45064a,N
7742-5634-4653-4660,2022-04-01,Motion Picture Theater,7832,2722,Debit,Cleared,301d478d-3d55-416e-b009-99a7dd4a370f,N
3768-5806-1760-2402,2022-03-11,DVD/Video Tape Rental Stores,7841,1333,Debit,Cleared,d93e701a-808c-4568-b222-7c005e06d2dc,N
5856-0057-8822-0177,2022-05-01,"Dance Halls, Studios & Schools",7911,212,Debit,Cleared,083bc588-7226-46b8-b1b9-b4ee411d90ef,N
6475-8717-0285-1214,2022-04-30,Theatrical Producers (except Motion Pictures) and Ticket Agencies,7922,509,Debit,Rejected,e104a19c-d3f1-4233-b551-f9443110bf37,N
3221-7806-4080-6767,2022-04-23,"Bands, Orchestras & Misc Entertainment",7929,1493,Debit,Cleared,e8722bb3-e66d-4232-9122-31379f4d7aef,N
2627-5561-2003-6528,2022-05-12,Billiards & Pool Establishments,7932,1228,Debit,Cleared,fd92cf69-8fcf-46da-afd9-eb840856da24,N
3446-0204-0520-0856,2022-03-19,Bowling Alleys,7933,1694,Debit,Cleared,bd55fa63-6405-4dc7-837f-c6302d39d2bf,N
6103-0803-7667-1634,2022-05-14,"Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters",7941,1815,Debit,Cleared,38256e48-b953-41b3-928d-1f45162bef9d,N
1114-1286-2836-3057,2022-05-17,Tourist Attractions and Exhibits,7991,1013,Debit,Cleared,e7db51ab-ad14-4f0c-9802-4e30db146ca9,N
1708-2261-7773-7658,2022-04-10,Public Golf Courses,7992,3770,Debit,Cleared,edb6ca1e-8faf-452e-b295-852568dfddd1,N
2301-4826-6816-0315,2022-03-31,Video Amusement Game Supply,7993,2041,Debit,Cleared,4059e762-dff3-45bb-88ff-0f38a4bf0ffc,N
1331-3717-0773-2487,2022-03-04,Video Game Arcades and Establishments,7994,2911,Debit,Cleared,31dd242f-6fd5-404b-a600-7299b2ccd821,N
5022-8318-8036-5438,2022-04-03,"Betting, including Lottery Tickets, Casino Gaming Chips, Off- Track Betting, and Wagers at Race Track",7995,3562,Debit,Cleared,7cf5328c-be8e-4d07-9fcd-2c10f017e777,N
6103-0803-7667-1634,2022-03-20,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers ",7996,1416,Debit,Cleared,291c6be0-f058-4784-a7e2-4aa9cc2a35a9,N
6573-1753-6586-3283,2022-04-15,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",7997,2559,Debit,Cleared,0744b2c2-06fd-4e4e-a38f-8d7c8a64b560,N
2301-4826-6816-0315,2022-04-06,"Aquarium, Seaquarium, Dolphinariums",7998,1747,Debit,Cleared,1a6d6f85-3d14-4b7f-8a58-b1d6fef064d2,N
8212-3112-7560-1582,2022-05-04,Recreation Services - Not Elsewhere Classified,7999,3594,Debit,Cleared,5410c655-96aa-480c-844d-8ddc1f020ad6,N
3435-4127-8278-2304,2022-02-24,Doctors and Physicians - Not Elsewhere Classified ,8011,2465,Debit,Cleared,770c8f04-fdd4-4f6d-9175-b314cff4e9b1,N
3446-0204-0520-0856,2022-05-09,Dentists and Orthodontists,8021,501,Debit,Processing,a8dc622f-b55b-4819-bbe9-69aa60a52e3a,N
0150-6226-3665-1580,2022-02-23,Osteopathic Physicians,8031,1599,Debit,Cleared,c80bf9eb-964c-4301-b1d2-1f161a2aace6,N
1708-2261-7773-7658,2022-04-17,Chiropractors,8041,736,Debit,Cleared,2cb48153-68ba-4c7e-9a1a-3338021b296c,N
5562-6138-2263-2583,2022-05-13,Optometrists and Ophthalmologists,8042,2754,Debit,Cleared,19f62cf2-cb87-4db0-8665-c406dd255c75,N
1127-7723-5843-6440,2022-03-02,"Opticians, Optical Goods and Eyeglasses",8043,3040,Debit,Cleared,5eb7c1de-e99f-48d9-b4ee-7fea17f4b8e9,N
